id,reference_id,color,material,category_name,parent_id,image
1,871,红,红胶花,【红】红胶花,831,https://aurayou2.lot-lot.com/image/32/2024/12/16969d0fa917b3a71d19ed94b2d03c37.jpg
2,872,红,朱砂,【红】朱砂,831,https://aurayou2.lot-lot.com/image/32/2024/12/ee00bfdd61b1441455ef7c9bd94429b7.jpg
3,873,红,石榴石,【红】石榴石,831,https://aurayou2.lot-lot.com/image/32/2024/12/97998f2e803bfa9ba0cae84256b37397.jpg
4,1624,红,红玛瑙,【红】红玛瑙,831,https://aurayou2.lot-lot.com/image/32/2025/06/39f5c96ab2146585df4ac5db21a32383.jpg
5,935,橙,太阳石,【橙】太阳石,831,https://aurayou2.lot-lot.com/image/32/2025/01/598205e0605b67f9625f4c79c0bae842.jpg
6,875,黄,黄水晶,【黄】黄水晶,831,https://aurayou2.lot-lot.com/image/32/2024/12/50835081dddd58482f2b8d3c6dc2dae2.jpg
7,876,黄,黄塔晶,【黄】黄塔晶,831,https://aurayou2.lot-lot.com/image/32/2024/12/59ee6ce871cadee77bf5a6373a43a0d2.jpg
8,877,黄,黄阿塞,【黄】黄阿塞,831,https://aurayou2.lot-lot.com/image/32/2024/12/fa299353ecfa07bc2a79aba698ce9bb2.jpg
9,878,黄,黄胶花,【黄】黄胶花,831,https://aurayou2.lot-lot.com/image/32/2024/12/41f3c6be2b9e048402bf97efee4db304.jpg
10,879,黄,黄虎眼,【黄】黄虎眼,831,https://aurayou2.lot-lot.com/image/32/2024/12/bc78ead977b74326a48cecf793e590b4.jpg
11,880,黄,金虎眼,【黄】金虎眼,831,https://aurayou2.lot-lot.com/image/32/2024/12/dd366091cb77688bd21ea24c5cf428a4.jpg
12,928,黄,金发晶,【黄】金发晶,831,https://aurayou2.lot-lot.com/image/32/2025/01/86e430f1c8b94a4063628ab8a86a8777.jpg
13,881,黄,蜜蜡,【黄】蜜蜡,831,https://aurayou2.lot-lot.com/image/32/2024/12/75749c0e65b9f64bed0315f98762437b.jpg
14,882,黄,黑金超,【黄】黑金超,831,https://aurayou2.lot-lot.com/image/32/2024/12/dec5d40f0c316134dbe1f13ed3347b66.jpg
15,883,粉,粉水晶,【粉】粉水晶,831,https://aurayou2.lot-lot.com/image/32/2024/12/529be39c49074f030c7f9d3e878929fe.jpg
16,884,粉,粉幽灵,【粉】粉幽灵,831,https://aurayou2.lot-lot.com/image/32/2024/12/4d038786f5478608044fe0bc790d5d2a.jpg
17,885,粉,草莓晶,【粉】草莓晶,831,https://aurayou2.lot-lot.com/image/32/2024/12/e0eb723448b6601db5faf8f6d014e3f3.jpg
18,887,粉,樱花玛瑙,【粉】樱花玛瑙,831,https://aurayou2.lot-lot.com/image/32/2024/12/3b6834d6211b1177483d71a5df6b7449.jpg
19,938,粉,红纹石,【粉】红纹石,831,https://aurayou2.lot-lot.com/image/32/2025/01/7a27a03e126520b02ea180bb38e690d3.jpg
20,888,粉,蔷薇石,【粉】蔷薇石,831,https://aurayou2.lot-lot.com/image/32/2024/12/1d3c0ae10bef415155a0b29b4a0c2fa3.jpg
