id,reference_id,name,price,image,extra_images,description,category_id
1,8476,红胶花白水晶绿幽灵魔盒手串BAC576x,146.00,https://aurayou2.lot-lot.com/image/32/2025/06/2e52b754826ad46ce313e53205be2995.jpg,https://aurayou2.lot-lot.com/image/32/2025/06/2e52b754826ad46ce313e53205be2995.jpg|https://aurayou2.lot-lot.com/image/32/2025/06/a0228e64ad3faf4bed93aef9cea56d2b.jpg|https://aurayou2.lot-lot.com/image/32/2025/06/d5115006ca7e9360bc92cb613a4ea52f.jpg|https://aurayou2.lot-lot.com/image/32/2025/06/72ce993e218802d902206b97be4b37f6.jpg|https://aurayou2.lot-lot.com/image/32/2025/06/db2ba8fe986d64ef95943172d23efc07.jpg|https://aurayou2.lot-lot.com/image/32/2025/06/9410857a4c7922700efaff3cd1725ca6.jpg,▫️▪️红胶花白水晶绿幽灵魔盒手串 - 材质&尺寸：红胶花11mm、白水晶刻面12mm，白水晶双尖、绿幽灵魔盒21*16mm,831|832|833|834|845|847|849|850|851|852|853|854|858|862|867|871|1054|1685
2,8104,红胶花手串BAC389x,198.00,https://aurayou2.lot-lot.com/image/32/2025/06/a15d1145cbcc36b39427803d2c655647.jpg,https://aurayou2.lot-lot.com/image/32/2025/06/a15d1145cbcc36b39427803d2c655647.jpg|https://aurayou2.lot-lot.com/image/32/2025/06/747e8808dc7cc13be48e80eee8bf4474.jpg|https://aurayou2.lot-lot.com/image/32/2025/06/727022d4e85a872dfdd226bf847c1048.jpg|https://aurayou2.lot-lot.com/image/32/2025/06/fca4932ecc25591a6b4b7e19b12d712d.jpg|https://aurayou2.lot-lot.com/image/32/2025/06/86c2b9eeeef4eb6f3232750c35dc5ce4.jpg|https://aurayou2.lot-lot.com/image/32/2025/06/e961932a4f9a9f4b95e995f17b35f536.jpg,▫️▪️红胶花手串 - 材质&尺寸：红胶花11mm，红胶花方糖10mm，红胶花魔盒20*16mm，贝珠8mm,831|832|833|834|846|847|848|849|850|851|852|853|854|855|862|871|1054|1622
3,7961,红胶花幽灵魔盒手串BAC1085,230.00,https://aurayou2.lot-lot.com/image/32/2025/05/4fdccb90ca49d01356b0c4ad465870ab.jpg,https://aurayou2.lot-lot.com/image/32/2025/05/4fdccb90ca49d01356b0c4ad465870ab.jpg|https://aurayou2.lot-lot.com/image/32/2025/05/b6169e19bbf1e0753dd779661dd4ccb0.jpg|https://aurayou2.lot-lot.com/image/32/2025/05/947655b956377581e9da49d2a39e1de8.jpg|https://aurayou2.lot-lot.com/image/32/2025/05/a1f0a61d1b940fc3caaf9bc2df00a5de.jpg|https://aurayou2.lot-lot.com/image/32/2025/05/067599486fa73936cfbf703348b95c10.jpg|https://aurayou2.lot-lot.com/image/32/2025/05/7f2f6cef67303830bff8d117a96084f8.jpg,▫️▪️红胶花幽灵魔盒手串 - 材质&尺寸：红胶花约12mm，蓝虎眼14mm，金曜石6mm，幽灵魔盒,831|832|833|834|845|847|849|850|851|852|853|854|859|862|867|871|1054|1226
4,7651,红胶花彩幽灵魔盒手串BAC932,235.00,https://aurayou2.lot-lot.com/image/32/2025/04/01a95ed91bf57e2fff4badd14866e95e.jpg,https://aurayou2.lot-lot.com/image/32/2025/04/01a95ed91bf57e2fff4badd14866e95e.jpg|https://aurayou2.lot-lot.com/image/32/2025/04/1665fb6e02032e80f650161a0f6f2915.jpg|https://aurayou2.lot-lot.com/image/32/2025/04/194eadfbeb35c53580ee48addd56e77c.jpg|https://aurayou2.lot-lot.com/image/32/2025/04/efcca2c9f3caccf9c9faf204d1624e45.jpg|https://aurayou2.lot-lot.com/image/32/2025/04/951ab5d15681c973a9ddee8d9419e6c8.jpg|https://aurayou2.lot-lot.com/image/32/2025/04/bfc0799dba780aa3912d38bd9c707e5f.jpg,▫️▪️红胶花彩幽灵魔盒手串 - 材质：红胶花，南红玛瑙，彩幽灵魔盒 尺寸：13mm,831|832|833|834|845|847|849|850|852|854|859|862|867|870|871|1054|1188
5,7602,红胶花手串BAC936,166.00,https://aurayou2.lot-lot.com/image/32/2025/03/25f810e758af7e84380ea9e67f466dc8.jpg,https://aurayou2.lot-lot.com/image/32/2025/03/25f810e758af7e84380ea9e67f466dc8.jpg|https://aurayou2.lot-lot.com/image/32/2025/03/10388ab30aae5d3002c760cbbd07991c.jpg|https://aurayou2.lot-lot.com/image/32/2025/03/be118facfb4eee3e3f11de7e84fff6b0.jpg|https://aurayou2.lot-lot.com/image/32/2025/03/fe0877374b4915f1f0dbe4ad274fabb6.jpg|https://aurayou2.lot-lot.com/image/32/2025/03/920ba3c846646b494fd4826640eb458a.jpg|https://aurayou2.lot-lot.com/image/32/2025/03/1ae985f7e4c73e59880b1f197a7414f7.jpg,▫️▪️红胶花手串 - 材质：红胶花 尺寸：12mm,831|832|833|834|850|852|854|855|862|871|1054|1186
6,6933,红胶花海蓝宝胶花随形手串BAC933,122.00,https://aurayou2.lot-lot.com/image/32/2025/03/ffee0dcf3f8c5575695170a8935a6bf4.jpg,https://aurayou2.lot-lot.com/image/32/2025/03/ffee0dcf3f8c5575695170a8935a6bf4.jpg|https://aurayou2.lot-lot.com/image/32/2025/03/9c67355a7b14820936b9dc64597bd4ec.jpg|https://aurayou2.lot-lot.com/image/32/2025/03/8f4d2978d0ab505b84cb28f52f802ba0.jpg|https://aurayou2.lot-lot.com/image/32/2025/03/06a724d3a351b56c758950bdbb6173d1.jpg|https://aurayou2.lot-lot.com/image/32/2025/03/82447ec8731b98357ae9da5299510e3d.jpg|https://aurayou2.lot-lot.com/image/32/2025/03/1d528942ff6efca37de9c5a416340777.jpg,▫️▪️红胶花海蓝宝胶花随形手串 - 材质：红胶花，海蓝宝，红胶花随形 尺寸：10mm,831|832|833|834|847|849|850|852|854|855|862|871|1054|1063
7,6765,红胶花海蓝宝白水晶月亮手串BAC934,190.00,https://aurayou2.lot-lot.com/image/32/2025/03/6a569022b82812fd5f20e6fa0a7b5e34.jpg,https://aurayou2.lot-lot.com/image/32/2025/03/6a569022b82812fd5f20e6fa0a7b5e34.jpg|https://aurayou2.lot-lot.com/image/32/2025/03/5d080b13752d8951094329773df23eb1.jpg|https://aurayou2.lot-lot.com/image/32/2025/03/98583d46c89db91035a83d42af7b4223.jpg|https://aurayou2.lot-lot.com/image/32/2025/03/8ccff4c1d442e6300764668fedc0d233.jpg|https://aurayou2.lot-lot.com/image/32/2025/03/15ae86a93a73999435d7cd8e365cde78.jpg|https://aurayou2.lot-lot.com/image/32/2025/03/9964e2611d9f78a2e325e89221d97a09.jpg,▫️▪️红胶花海蓝宝白水晶月亮手串 - 材质：红胶花，海蓝宝，白水晶月亮 尺寸：9mm,831|832|833|834|847|849|850|852|854|855|862|871|1054|1056
8,6764,红胶花金骨干手串BAC929,235.00,https://aurayou2.lot-lot.com/image/32/2025/03/5b987bd973f5d8c9032819edd4513610.jpg,https://aurayou2.lot-lot.com/image/32/2025/03/5b987bd973f5d8c9032819edd4513610.jpg|https://aurayou2.lot-lot.com/image/32/2025/03/0c15eb4914592ed90a76c360f0b171cd.jpg|https://aurayou2.lot-lot.com/image/32/2025/03/389338bfc6adb4016c85648496312ea6.jpg|https://aurayou2.lot-lot.com/image/32/2025/03/6689b23c6eb197dccd1a0b8265f54dfd.jpg|https://aurayou2.lot-lot.com/image/32/2025/03/e043c7b2fb8b6adaca5fa71ad1d20145.jpg|https://aurayou2.lot-lot.com/image/32/2025/03/cc6d5ec3a5a9b304e1adb7812bad729f.jpg,▫️▪️红胶花金骨干手串 - 材质：红胶花，黑金骨干 尺寸：10mm、11mm,831|832|833|834|850|851|852|854|855|858|862|871|1054|1056
9,6404,红胶花萤石彩幽灵魔盒手串BAC1022,350.00,https://aurayou2.lot-lot.com/image/32/2025/01/29eb8673280d662a4621946284a52547.jpg,https://aurayou2.lot-lot.com/image/32/2025/01/29eb8673280d662a4621946284a52547.jpg|https://aurayou2.lot-lot.com/image/32/2025/01/27a3a28bb7037270bafaf04758aa0dc1.jpg|https://aurayou2.lot-lot.com/image/32/2025/01/40b36d247e92a7500ebbef7eb1a719fe.jpg|https://aurayou2.lot-lot.com/image/32/2025/01/faa51aa15d349d4327556e384f2a3828.jpg|https://aurayou2.lot-lot.com/image/32/2025/01/ab8eb7f7c89d1953169a4215d8b353af.jpg|https://aurayou2.lot-lot.com/image/32/2025/01/1ef06bd65a70c20895a13d107873fdba.jpg,▫️▪️红胶花萤石彩幽灵魔盒手串 - 材质：红胶花、萤石、彩幽灵 尺寸：15mm,831|832|833|834|845|846|847|849|850|852|854|858|861|867|871
10,8345,朱砂招财猫手串BAC626x,100.00,https://aurayou2.lot-lot.com/image/32/2025/06/0daf3791ed84a67084228fd999252c03.jpg,https://aurayou2.lot-lot.com/image/32/2025/06/0daf3791ed84a67084228fd999252c03.jpg|https://aurayou2.lot-lot.com/image/32/2025/06/50ad169274e3503decf0d616d88d86b3.jpg|https://aurayou2.lot-lot.com/image/32/2025/06/7e9254bfc3e3abe23810920010ee1ed8.jpg|https://aurayou2.lot-lot.com/image/32/2025/06/5955d0d46bf84f42d3ec0233acc2dc21.jpg|https://aurayou2.lot-lot.com/image/32/2025/06/4e2b536d158f608b4f8c94e58e9e998d.jpg|https://aurayou2.lot-lot.com/image/32/2025/06/f85db43dc0d755826395a972f0a5240c.jpg,▫️▪️朱砂招财猫手串 - 材质&尺寸：朱砂10mm，蛇皮石4.5mm、炭烤菩提招财猫11mm,831|832|833|834|850|852|858|862|872|1054|1679
